User,Message,Sentiment
A Durgadevi Maam SRM VDP,"*******************************************
 *INSTRUCTION FOR  OPERATING SYSTEMS UNIVERSITY LAB EXAM
******************************************
 *Date of Exam:04.07.2022*                                          *Venue:  II Floor CDC Lab* 
1.Come in formal dress code.(Jean pants not allowed). Girls come in salwar or Kurtas.Dont come in free hair.
2.Must Wear I'd card and mask.
 *3.Bring your record without fail and make sure got the facsimile for HOD sign.* 
4.Check yourself for another time and ensure to get rid of any type of materials along with you for the lab.this enables you to be free from any malpractice..
5.Carry stationary items for exam and water bottle if required.You are not supposed to share inside the lab exam.
 *6.Morning batch report at 7.50 am and second batch at 11.50 am .* 
7.Students will be allowed for examination based on register numberwise.So please be on time.
 *Note: Don’t Bring any of your Electronic gadgets(smart watches,Pendrives,Mobile phones,)*
",love
Preetha Ma'am SEPM SRM VDP,"SEPM - CT3 - Marks - Pl check. Detailed Answer key is uploaded in GCR.  Those who like to check the answer scripts can come to my desk after 9:00 am. Thx.
",love
Preetha Ma'am SEPM SRM VDP,"🔹🔹🔹🔹🔹🔹🔹
IMPORTANT AND URGENT
🔹🔹🔹🔹🔹🔹🔹

ONLY 32 / 51  STUDENTS HAVE GOT YOUR SEPM PROJECT REPORT SIGNED BY ME. HOPE YOU HAVE GOT THE HOD SEAL /  FACSIMILE IN IT. YOU HAVE TO SUBMIT THE REPORT WHEN YOU COME FOR UNIVERSITY LAB EXAM ON 6th.

19 STUDENTS WHO ARE YET TO GET IT SIGNED SHOULD COMPLETE IT TODAY WITHOUT FAIL. YOU WILL NOT BE ALLOWED FOR THE UNIV LAB EXAM WITOUT THE SIGNED REPORT. 

🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
",joy
MANOHAR Sir SRM VDP,"Good morning all
",joy
Bala Murugan Calculus & Linear Algebra SRM VDP,"Kindly all students to fill this form within today.☝🏻
",joy
A Durgadevi Maam SRM VDP,"Students,This is ur Final CPS marks .👆👆
",joy
A Durgadevi Maam SRM VDP,"Final CPS marks👆👆kindly ignore the previous one
",joy
Mathivanan Sir CCTS SRM VDP,"Dear Students, Kindly fill the  gform for CCTS
https://docs.google.com/forms/d/e/1FAIpQLSendUwH9X0B7HSooTKGQc_LNI4q-JecjN5m4kEE0X6S6q9tkQ/viewform
",joy
Bala Murugan Calculus & Linear Algebra SRM VDP,"Kindly all students to fill this form within today.☝🏻
",joy
A Durgadevi Maam SRM VDP,"Only these students completed forms in CSE A
",joy
A Durgadevi Maam SRM VDP,"Kindly fill this Google form
",joy
A Durgadevi Maam SRM VDP,"Good evening mam...
Kindly circulate this drug pledge to all classes in your department except first year..when they fill it they will receive a cirtficate
",joy
A Durgadevi Maam SRM VDP,"Fidelity 2024 Batch_Registration Company Link-Online Test_01.08.2022

Dear All,

PFA the schedule for the fidelity 2024 batch. Kindly circulate the students for the same.

Updated schedule:
 
 
PPT
Assessment
Interview
Date
01-Aug-22
01-Aug-22
03-Aug-22
Time
4 to 5pm
5.30 to 6pm
9am onwards

Also, the company HR has shared the Hirepro registration link to all the applied students and the students have to register as per the below timings. 

The students who are registered in the link only will receive the online test link. 

Registration link open from now to till 31st July 2022 at 8:00 PM.

The Online Assessment window will be open from 1st August 2022 5:30 PM to 1st August 2022 6:00 PM.

Thanks & Regards
Placement Office
",joy
A Durgadevi Maam SRM VDP,"Good morning Students.. As informed earlier.. We have planned for Industrial Visit in 4th week of August ( most likely).. The link for polling for willingness would have already been curculated in ur respective class groups.. Kindly inform ur friends that the final count will be freezed by TODAY AT 2 PM
",love
A Durgadevi Maam SRM VDP,"Dear All,

Good News!!! 

One of our III Year CSE A student(2024 Batch) has received 2 months Summer Internship offer (June -July 2023) from FIDELITY which based on his performance could convert to Pre-Placement Offer. 

*Students Details:*
*Register No*:RA2011003040023
*Name*: Srinivasa M 
*Company Name*: Fidelity

Congratulations to Srinivasa 👏💐💐💐
",joy
Preetha Ma'am SEPM SRM VDP,"Congratulations Srinivas 💐💐Thatz a great start point .. My heartiest wishes to you for many more achievements 💐💐💐
",joy
A Durgadevi Maam SRM VDP,"🔹🔹🔹🔹🔹🔹🔹🔹🔹
IMPORTANT AND URGENT 
🔹🔹🔹🔹🔹🔹🔹🔹🔹
KIND ATTENTION TO THIRD YEAR STUDENTS (2024 outgoing batch) WHO ARE INTERESTED IN ON-CAMPUS INTERNSHIP AND PLACEMENT OPPORTUNITIES
🔹🔹🔹🔹🔹🔹🔹🔹🔹

All those who are interested to participate in internship and placement drives are requested to update your details in the below form.  The superset application will formally open for internship cycle only in the beginning of your 6th semester. So we are collecting this data to be used during your 5th semester to identify suitable internship / placement opportunities and any skill upgrade program nominations, as required. 

Only those who are interested in On-Campus internship / placement opportunities are requested to fill the form. Others planning for higher studies may please ignore the form. 

Pl ensure you read the form throughly and provide correct information to each question. 

The form will be closed for responses on 7th August at 3:00 pm. All are requested to adhere to the timeline. 

https://forms.gle/Qr3AyHDmxQHzhN9A9


Thanks 
Preetha 
VDP Placement Team
🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
",joy
A Durgadevi Maam SRM VDP,"The day order today is I . 
We shall continue day order on Wednesday. ( day order 2)
Hence on *10.8.22* , *Day order 2* will be followed. (II and III year reopening for odd semester) 

Kindly follow this to maintain uniformity amongst all classes.
",love
+91 80154 35901,"Ma'am can v hv elective wise name list
",joy
A Durgadevi Maam SRM VDP,"🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
IMPORTANT AND URGENT 
🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
KIND ATTENTION TO THIRD YEAR STUDENTS
🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹

PLEASE NOTE THAT BASED ON THE PROFILE SCREENING THE BELOW LIST OF STUDENTS ARE SHORTLISTED FOR WELLS FARGO SUMMER INTERNSHIP PROCESS

PFB the process schedule for Wellsfargo

Date & Time  :  11.08.2022, 10.00 a.m.
Process  :  PPT at 10.00 a.m
Online Test at 12 Noon
Process Mode  :  Virtual

Pl find below :
Shortlisted Students list
JD for Internship
Preparation Material
",joy
Cse B Durgadevi Ma'am,"🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
IMPORTANT AND URGENT 
🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
KIND ATTENTION TO THIRD YEAR STUDENTS
🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹

PLEASE NOTE THAT BASED ON THE PROFILE SCREENING THE BELOW LIST OF STUDENTS ARE SHORTLISTED FOR WELLS FARGO SUMMER INTERNSHIP PROCESS

PFB the process schedule for Wellsfargo

Date & Time  :  11.08.2022, 10.00 a.m.
Process  :  PPT at 10.00 a.m
Online Test at 12 Noon
Process Mode  :  Virtual

Pl find below :
Shortlisted Students list
JD for Internship
Preparation Material
",joy
A Durgadevi Maam SRM VDP,"Dear students, 
The registration for the certification exam is open only to those learners who have enrolled in the course. 

2. If you want to register for the exam for this course, login here using the same email id which you had used to enroll to the course in Swayam portal. Please note that Assignments submitted through the exam registered email id ALONE will be taken into consideration towards final consolidated score & certification. 

3. Date of exam: Sep 25, 2022

CLICK HERE to register for the exam. 

Choose from the Cities where exam will be conducted: Exam Cities 



4. Exam fees: 



If you register for the exam and pay before Aug 15, 2022, 10:00 AM, Exam fees will be Rs. 1000/- per exam. 

If you register for exam before Aug 15, 2022, 10:00 AM and have not paid or if you register between Aug 15, 2022, 10:00 AM & Aug 19, 2022, 10:00 AM, Exam fees will be Rs. 1500/- per exam



5. 50% fee waiver for the following categories: 



Students belonging to the SC/ST category: please select Yes for the SC/ST option and upload the correct Community certificate.



Students belonging to the PwD category with more than 40% disability: please select Yes for the option and upload the relevant Disability certificate.
",joy
A Durgadevi Maam SRM VDP,"Reminder for nptel exam fee payment. Kindly do payment by today itself
",joy
Paavai Anand Ma'am SRM VDP,"Only 25 students uploaded proof in gcr. Others do it asap
",joy
A Durgadevi Maam SRM VDP,"Dear students, 
Final mooc course namelist☝️.
",joy
A Durgadevi Maam SRM VDP,"Dear students, Those who have enrolled for INTEL COURSE - MOOC.. Kindly verify your details and join the GCR (GCR code: pslj5se) and whatsapp group(https://chat.whatsapp.com/Kl7EINoeRLp4r9HeIMrVod) immediately.
",love
A Durgadevi Maam SRM VDP,"Instructions for students to attend Cps training
1.Classes will be conducted in physical mode.26/8,27/8,29/8,30/8
2.Students are asked to bring your own laptops and ear phones and get wifi connection in prior.
3.Attendance is compulsory and clarify your doubts then and there.
4.No retest will be entertained for any reasons..
5.Marks awarded by them will be final so submit your tests and assignment on time..
",joy
Arun Aakash SRM Classmate,"Mam will cps classes happen only on those specified dates or according to the time table?
",joy
A Durgadevi Maam SRM VDP,"Students those who paid fees through education loan please send me your full name and register number soon
",joy
A Durgadevi Maam SRM VDP,"Dear Students,
As part of the continuous Voter Education programme, it is proposed to conduct Electoral Literacy club-related activities among the College students throughout the state. In case the  functioning of Electoral Literacy Clubs at College level the Campus Ambassadors play a vital role and they act as the link between the new electors with the District Election officials.
Those interested in being the Campus Ambassador for SRMIST Vadapalani campus, kindly fill out the google sheet on or before 21.08.2022.
https://tinyurl.com/ELC-VDP
",love
A Durgadevi Maam SRM VDP,"Dear students and faculties
Classroom for cse A has changed. Kindly shift to DW304 after break hour
",joy
Cse B Durgadevi Ma'am,"🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹

IMPORTANT AND URGENT 

LinkedIn India 
Software Development 
Summer Internship

Deadline : August 28th, 2022

LinkedIn is kickstarting the Summer Internship program for students currently in their pre-final year of degree. We have opened our application process for the Software Development internship role with focus on students with CS/IT background. We are  looking for students interested in the backend development, Data and UI space/Full stack engineering.

 

Please share the link(https://forms.office.com/pages/responsepage.aspx?id=v4j5cvGGr0GRqy180BHbRzVlF57CKAdNj3CIKJqvvRJUME1CVjFYUkFVNkpERllLTU5SMlhLTldYQi4u) and details to apply for the program with the student’s in your institute by August 28th, 2022.

 

LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume - we transform lives through innovative products and technology. 
 
Software Engineering interns at LinkedIn work on advanced information-retrieval algorithms, massive scalability infrastructure and storage solutions, and large-scale applications for users on web and mobile devices. LinkedIn is looking for a variety of interns who want to learn, grow and work with some of the brightest technical talent in the world. We have a top-notch summer intern program for where you would work on real-life projects very important to the company. At LinkedIn, we strive to help our employees find passion and purpose.
 
 Apply now (https://forms.office.com/pages/responsepage.aspx?id=v4j5cvGGr0GRqy180BHbRzVlF57CKAdNj3CIKJqvvRJUME1CVjFYUkFVNkpERllLTU5SMlhLTldYQi4u) for the 2023 India Summer Internship program 
 
Want to know more about our Engineering teams and what they are upto? 

https://engineering.linkedin.com

🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
",joy
A Durgadevi Maam SRM VDP,"🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹

IMPORTANT AND URGENT 

LinkedIn India 
Software Development 
Summer Internship

Deadline : August 28th, 2022

LinkedIn is kickstarting the Summer Internship program for students currently in their pre-final year of degree. We have opened our application process for the Software Development internship role with focus on students with CS/IT background. We are  looking for students interested in the backend development, Data and UI space/Full stack engineering.

 

Please share the link(https://forms.office.com/pages/responsepage.aspx?id=v4j5cvGGr0GRqy180BHbRzVlF57CKAdNj3CIKJqvvRJUME1CVjFYUkFVNkpERllLTU5SMlhLTldYQi4u) and details to apply for the program with the student’s in your institute by August 28th, 2022.

 

LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume - we transform lives through innovative products and technology. 
 
Software Engineering interns at LinkedIn work on advanced information-retrieval algorithms, massive scalability infrastructure and storage solutions, and large-scale applications for users on web and mobile devices. LinkedIn is looking for a variety of interns who want to learn, grow and work with some of the brightest technical talent in the world. We have a top-notch summer intern program for where you would work on real-life projects very important to the company. At LinkedIn, we strive to help our employees find passion and purpose.
 
 Apply now (https://forms.office.com/pages/responsepage.aspx?id=v4j5cvGGr0GRqy180BHbRzVlF57CKAdNj3CIKJqvvRJUME1CVjFYUkFVNkpERllLTU5SMlhLTldYQi4u) for the 2023 India Summer Internship program 
 
Want to know more about our Engineering teams and what they are upto? 

https://engineering.linkedin.com

🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
",joy
A Durgadevi Maam SRM VDP,"Dear Students,

Greetings from IET Chennai Local Network!!!

We welcome every  designers, developers or builders, coders and problem solvers to participate the PENTATHON 2022 event.

The IET Chennai Local Network is hosting the PENTATHON 2022 competition. The competition will be held on 15 October 2022. Come join us for the competition Hosted by IET Chennai! 

What is PENTATHON?

Blend of 5 different competitions named #Ideathon
#Appathon
#Webathon
#Makeathon & 
#Hackathon

The detailed event schedule is mentioned in the below link. 

Registration web link: https://ietchennailnevents.org/

Please feel free to contact the team in case of any queries relating to the event. 

R.Balamurugan, Assistant Professor - bmavinashi@gmail.com.
",joy
A Durgadevi Maam SRM VDP,"🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
IMPORTANT AND URGENT 
🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹

KIND ATTENTION TO PRE FINAL YEAR STUDENTS 

LinkedIn  SUMMER INTERNSHIP- ONLINE TEST 

The test for the LinkedIn Software Development Intern position will be conducted today at 7 pm. 

THOSE WHO HAVE REGISTERED FOR IT WOULD HAVE RECEIVED THE TEST LINK TO YOUR REGISTERED EMAIL ID. PL CHECK. 

Please ensure to login in for the test within the stipulated time. 

Time test opens: 7:00 p.m. IST , September 5th, 2022 (closes to attempt at 7:15 p.m. for login)

Duration: 90 mins

Details: The time for the test starts the moment you log into the link. Candidates have to complete the test in one shot and cannot re-login. Hence please ensure you login at the right time

🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹🔹
",joy
A Durgadevi Maam SRM VDP,"Dear students,
Kindly read the following instructions &  fill out the google form attached.
This is to provide an effective parking facility & ensure some discipline regarding two-wheeler parking for the students inside our campus.
•	Students are permitted to bring their two-wheeler only from 2nd year .
•	Students are strictly prohibited from bringing a four-wheeler inside the campus.
•	Those who fill the google form attached will be provided with parking stickers without which the vehicle will not be permitted to park . 
•	Only 1 sticker/vehicle will be issued . 
•	In case, your permitted vehicle is given for service, alternate vehicle will not be permitted to park . (PARKING STRICTLY FOR VEHICLE WITH STICKER & ONLY ONE STICKER PER VEHICLE).
Kindly adhere to the guidelines.
https://forms.gle/aoJnnUMz6uFt3zaY8

Thanks,
Dean Office.
CET, SRMIST VDP.
",joy
A Durgadevi Maam SRM VDP,"the college will be working full day .

Necessary instructions be communicated to the students accordingly..

The inconvenience caused is *highly regretted*
",joy
Cse B Durgadevi Ma'am,"Dear Students,

Pl be very careful with your belongings .
*Don't leave your belongings / valuables unattended.*

Be responsible for your things . 

Have a great Day !!!
",joy
A Durgadevi Maam SRM VDP,"Today special timetable will be followed
1st hour- Maths 
2,3,4-CN lab
5-OE (elective)
",love
A Durgadevi Maam SRM VDP,"No retest will be given for simple illness..
Retest will be given only for genuine cases like hospitalization (produce discharge summary). 
Class incharges  are requested to strictly inform ur students please.
",love
A Durgadevi Maam SRM VDP,"Good evening all

As per Government notification, tomorrow (25/10/2022) is declared holiday for the college. Instead, we shall be working on 19/11/2022 to compensate tomorrow's loss of classes..

Take care and have a safe Diwali...
",joy
Cse B Durgadevi Ma'am,"Pl share this to students:

If someone has lost ur bike key, pl collect it from CSE HOD.
",joy
Cse B Durgadevi Ma'am,"*Fill the form correctly ...the responses cannot be changed once filled*
",joy
A Durgadevi Maam SRM VDP,"Dear students
Kindly join ISM elective class @8.50 AM
",joy
Dr. Akila Maam FLA SRM VDP,"STUDENTS ....CHECK FLA GCR

posted quiz link, demo problems using JFLAP (record it ) ....deadline to sub,it 13.11.2022
Unit wise assignment problems to practice
",joy
Cse B Durgadevi Ma'am,"Good morning all

As per the government notification, today   (11/11/2022) is declared a holiday. The university practical exam scheduled is postponed..

Take care n stay safe
",love
A Durgadevi Maam SRM VDP,"Good morning all

As per the government notification, today   (11/11/2022) is declared a holiday. The university practical exam scheduled is postponed..

Take care n stay safe
",love
A Durgadevi Maam SRM VDP,"Good Morning students 
Today computer networks online class scheduled from
8:00 am - 8.50am
ISM elective from 8.50-9.40
",love
A Durgadevi Maam SRM VDP,"Dear class incharges:
The students who have not paid the examination fee as on 19.11.2022 are instructed to pay   the fee with fine only immediately to avoid further increase in fine amount.
",love
Bala Murugan Calculus & Linear Algebra SRM VDP,"https://forms.gle/nDDRBEJTfqDPYNps6            Dear students, kindly submit  the google form as soon as possible
",joy
Dr. Akila Maam FLA SRM VDP,"if instance not given for pcp or mpcp problem create the instance on ur own based on the given lang
",joy
Bala Murugan Calculus & Linear Algebra SRM VDP,"22 students only submitted. Remaining students submit now.
",joy
NILADRI,"ma'am I also finished all of them but my name is only in PDA
",joy
A Durgadevi Maam SRM VDP,"Dear Students, Kindly check ur MOOC marks 👆
",joy
Dr. Akila Maam FLA SRM VDP,"Univ exam pattern: 100 marks-3 hrs. Total: 5 questions- (1 compulsory question+ 4 questions out of 6 ).Each question carries 20 marks (atleast 2 MCQs will be there for every scenario).
",joy
Dr. Akila Maam FLA SRM VDP,"Additional info: the materials must be bounded. Handwritten notes must be written only in blue ink. Dept seal has to be affixed in the front sheet. Please sign randomly in some pages.
",joy
A Durgadevi Maam SRM VDP,"Students 1. Exam Seating Arrangement will be displayed in the Ground floor entrance
2.Bags have to be deposited in the place mentioned in the notice board
3. Wear a proper dress - No torn jeans 
4. Don't forget to take your hall ticket and ID card 
5. Don't wear any kind of Watches , smart gadgets , pen drive etc
6. Take necessary pens , stationary items , don't share any item with others
7. *Reporting time before 9:30 AM in the respective Exam Hall after duly submitting the bag in bag room*
8. LASTLY - DON'T INVOLVE IN ANY KIND OF MALPRACTISE
",love
A Durgadevi Maam SRM VDP,"Dear students, 
Kindly fill this google form before 10 AM today.
",joy
Niveditha Ma'am APP SRM Vdp,"* Wise works internship on Metaverse.
* The internship will be mapped to Seminar code.
* No offline classes in campus. 
* The online (after college) internship completion certificate will be mapped to seminar code.
",joy
Niveditha Ma'am APP SRM Vdp,"* Wise works internship on Metaverse.
* The internship will be mapped to Seminar code.
* No offline classes in campus. ( only MOOC periods) 
* The online (after college) internship completion certificate will be mapped to seminar code.
",joy
A Durgadevi Maam SRM VDP,"Details about the Program

AI and ML:
Examination and certification by ISTE (http://www.isteonline.in/)
Srmist Vdp has institutional membership.

Nature of Program   :   Offline.

Course Duration      :  120 Hrs  

Course and exam fee    :   Free of Cost.
",love
A Durgadevi Maam SRM VDP,"26th National youth festival is going to held in Bangalore..In this concern, I Kindly request you to circulate the attached file to your students..Willing participants(NSS ) may contact Dr.Kannan tomorrow....
",love
A Durgadevi Maam SRM VDP,"Hi all students.  Request names of students willing to take part in pongal preparation at ymca tomorrow (8/1/23).
",love
Dr Karthikeyan Manikandan B2B Sir SRM VDP,"Kindly share the time table mam
",joy
A Durgadevi Maam SRM VDP,"Dear All

Wish YOU ALL A VERY HAPPY PONGAL !!!

I would like to invite you for the Pongal Celebrations planned in the CET, VDP campus on 13/01/2023 between 10.30 AM and 1.00 PM

The celebrations include certain events for the faculty, research scholars and the students.

Solicit and Await your august presence.

This may be accordingly shared with all.
",love
A Durgadevi Maam SRM VDP,"Pl note: Traditional attire/ decent ethnic wear is permitted for tomorrow's pongal celebration for staff and students.
",joy
A Durgadevi Maam SRM VDP,"SI-UK Educational Fair Jan 2023

Meet all Top Universities from UK

Date - Thu, 26th Jan 2023

Venue - Hyatt Regency, Anna Salai

To register - https://bit.ly/3PKXuMJ
",joy
A Durgadevi Maam SRM VDP,"Forwarded form ncc unit-  ktr.... Kindly circulate
",joy
A Durgadevi Maam SRM VDP,"Greetings! 
Dear Students...DCSE, SRMIST, Vadapalani campus is organizing an *""Unlocking your creativity and Innovation""* event to unleash your creative potential and reenergize the planet with brilliant concepts.
 
Date: 31st January 2023
Timing: 11 am-3 pm
 
 
Guest speaker: Dr. D. Selvakumari
IIC Convenor
MCC, Chennai 
 
 
Registration link:
 
https://forms.gle/Akn6w5QtodwoTYp37
 
Renewing your spirit with lots of activity!!!🔆
",joy
Banu Kiran SRM Classmate,"*Full day OD
",joy
Asish SRM Classmate,"Full day OD for 
07
09
18
19
20
37
44
46
56
63
67
72
76
77
81
91
105
From the DI club representing Hack Fest
",joy
A Durgadevi Maam SRM VDP,"Dear all
The classes are suspended from 12.30pm.
Kindly inform all CET students to leave the campus immediately.
",joy
A Durgadevi Maam SRM VDP,"Dear class incharges,
Kindly inform the Hostel students that the bus will leave from campus by 1.30 PM after taking lunch.
",love
Dhayanidhi SRM Classmate,"Full day od for Dhayanidhi - RA2011003040007
Hari hara subramanian - RA2011003040067
James allen raj-RA2011003040037
Pragadeesh -RA2011003040044
Krithick kumar - RA2011003040076
",joy
A Durgadevi Maam SRM VDP,"Any student who is willing to be the student ambassador for this G20 events conduct and reporting from SRM VDP may send ur willingness to @919840557778 Dr.Manohar.
",joy
A Durgadevi Maam SRM VDP,"Dear all

Kindly communicate to all students on how to use quiklrn

All contents to be uploaded into quiklrn for students reference.  You can create assignments ,quiz and submission of any kind of.project reports, review ppts to be done in quiklrn so that students would login and use the system 

Any kind of issues or queries put a mail to support@quiklrn.com
",love
A Durgadevi Maam SRM VDP,"Gentle Reminder, Kindly forward the above schedule to class' staff and student group. All staffs are requested to join the meeting. As usual, Students are asked to join minimum 5 mins earlier as per the schedule.
",love
A Durgadevi Maam SRM VDP,"Dear Student(s)

The Office of International Relations (OIR), SRMIST is receiving the Semester Abroad Program (SAP) applications for FALL-2023 (JULY to December 2023) admission at the host Universities. Interested and Eligible students are advised to submit the scanned copy of the filled application form through e-mail within the deadline to sureshki@srmist.edu.in and ir.sap.dualdegree@srmist.edu.in

Deadline: 15th FEBRUARY 2023

Fill the Application form attached herewith.
Based on your level of interest, select your university and complete the application form giving 3 preferences.
Submit the filled-in application form through email within the deadline to sureshki@srmist.edu.in and ir.sap.dualdegree@srmist.edu.in
E-mail Attachments: Passport copy, mark sheet copies (from 10th till latest), Project portfolios (if any)
Don’t forget to mention your department and campus.
 

For More details: https://www.srmist.edu.in/ir/outward-mobility/semester-abroad-program/

Or contact your department SAP coordinator

Name of the coordinator

Department

Mobile No

Mrs. K. Karthikayani

CSE

9500075869

Dr. T. S Balaji

ECE

9710769781

Mr.M.Kamatchi Hariharan

Mech.

9003337793
",joy
A Durgadevi Maam SRM VDP,"https://forms.gle/ne5zLcny5E4xV4vX6

Dear Students/Staff
It is proposed to issue bike parking stickers to all students/staff coming in their bike. Hence, kindly apply for the sticker in the Google form shared. 
Note:
Only one sticker per student/staff.
Last date to submit the form is 14/2/23 (5pm).
Students without license should not apply for sticker.
",joy
Sruthi Shiva SRM Classmate,"Od for :(fulla day )
Shah 33
Banu 105
Sruthi 45
Praveen 43
Akshai 27
Preethi 18
Manoj 16
Srinivas dattu 74
Teja 14
Vishwanath 20
Likhith 100
Dhanush 80
Jeevan 62
Kishore 72
Jashwanth 107
Sneha 91
",joy
Sneha S SRM Classmate,"Full day OD for
Od for :(fulla day )
Shah 33
Banu 105
Sruthi 45
Praveen 43
Akshai 27
Preethi 18
Manoj 16
Srinivas dattu 74
Teja 14
Vishwanath 20
Likhith 100
Dhanush 80
Jeevan 62
Kishore 72
Jashwanth 107
Sneha 91
Shahil 90
",joy
Sneha S SRM Classmate,"Od for :(fulla day )
Shah 33
Banu 105
Sruthi 45
Praveen 43
Akshai 27
Preethi 18
Manoj 16
Srinivas dattu 74
Teja 14
Vishwanath 20
Likhith 100
Dhanush 80
Jeevan 62
Kishore 72
Jashwanth 107
Sneha 91
Shahil 90
",joy
Pankaj Kumar SRM Classmate,"FULL DAY OD
Satya Rajesh 02
Rohit 08
Ashish 09
Varsha 29
Pragadeesh 44
Priyadarshini 46
Harshini 53
Srikanth 56
Ebrahim 59
Harshavardhini 60
Ria 66
Atheeq 69
Sarayu 77
Mayuri 81
Shahil 90
Pankaj 95
Bharat 96
Harshit 97
Cr Roshan 104
Kush Gautam 106
",joy
A Durgadevi Maam SRM VDP,"https://forms.gle/D4n9eTeXq64ZVeCs5

Dear all
The bike parking sticker request form has been opened again for those who haven't filled. Kindly fill the request by 12noon
",joy
Praveen SRM Classmate,"Full day OD for 37 and 43

Cyber security workshop
",joy
Praveen SRM Classmate,"37 and 43 full day od for workshop
",joy
A Durgadevi Maam SRM VDP,"Requirement for paid internship:
Any student who is very strong in dynamic website development & interested to take up a paid internship (1month), online is requested to mail ur cv to hod.cse.vdp@srmist.edu.in by 5/3/23.
",joy
A Durgadevi Maam SRM VDP,"I kindly request all girls to assemble in Audi immediately
",joy
